"Latest: Time (s)","Latest: Temperature 1 (°C)","Latest: Temperature 2 (°C)"
0,21.7103877936,28.9700502027
0.01,21.7337546941,28.9700502027
0.02,21.7556592718,28.9016365565
0.03,21.7103877936,28.9700502027
0.04,21.7556592718,28.9700502027
0.05,21.7103877936,28.8783498038
0.06,21.7556592718,28.8783498038
0.07,21.7103877936,28.8783498038
0.08,21.7556592718,28.9700502027
0.09,21.7103877936,28.9249248252
0.1,21.7556592718,28.9700502027
0.11,21.7103877936,28.8783498038
0.12,21.7337546941,28.9700502027
0.13,21.7103877936,28.8550645557
0.14,21.7556592718,28.9700502027
0.15,21.7103877936,28.8550645557
0.16,21.7556592718,28.9700502027
0.17,21.7103877936,28.9467589642
0.18,21.7556592718,28.9016365565
0.19,21.7103877936,28.9700502027
0.2,21.7556592718,28.8783498038
0.21,21.7103877936,28.9700502027
0.22,21.7556592718,28.8783498038
0.23,21.7103877936,28.9700502027
0.24,21.7337546941,28.8783498038
0.25,21.7103877936,28.9700502027
0.26,21.7556592718,28.8783498038
0.27,21.7103877936,28.9700502027
0.28,21.7556592718,28.9249248252
0.29,21.7103877936,28.8550645557
0.3,21.7337546941,28.9700502027
0.31,21.7103877936,28.9700502027
0.32,21.7556592718,28.9700502027
0.33,21.7103877936,28.8550645557
0.34,21.7556592718,28.9249248252
0.35,21.7103877936,28.9700502027
0.36,21.7556592718,28.9467589642
0.37,21.7103877936,28.8550645557
0.38,21.7556592718,28.9700502027
0.39,21.7103877936,28.9700502027
0.4,21.7337546941,28.9016365565
0.41,21.7337546941,28.8783498038
0.42,21.7556592718,28.9700502027
0.43,21.7103877936,28.8783498038
0.44,21.7556592718,28.9016365565
0.45,21.7337546941,28.9700502027
0.46,21.7556592718,28.8783498038
0.47,21.7103877936,28.9467589642
0.48,21.7556592718,28.9700502027
0.49,21.7103877936,28.9249248252
0.5,21.7556592718,28.9249248252
0.51,21.7103877936,28.9700502027
0.52,21.7556592718,28.8783498038
0.53,21.7103877936,28.9016365565
0.54,21.7337546941,28.9700502027
0.55,21.7103877936,28.8550645557
0.56,21.7556592718,28.9700502027
0.57,21.7103877936,28.9016365565
0.58,21.7790221491,28.9700502027
0.59,21.7103877936,28.8783498038
