Frame	Time	Point #1.X	Point #1.Y	Point #2.X	Point #2.Y	Point #3.X	Point #3.Y	Point #4.X	Point #4.Y	Angle #1
1	0,000000	173,427994	876,471008	163,139999	511,765015	69,077003	138,235001	243,975006	102,941002	192,518616
2	0,004566	172,389008	877,000000	164,199997	511,399994	69,544998	141,091003	243,899994	102,699997	193,055267
3	0,009132	172,389008	877,000000	164,222000	511,000000	69,544998	141,091003	244,000000	102,699997	193,078171
4	0,013699	172,389008	877,000000	164,222000	511,000000	69,455002	141,091003	244,000000	102,699997	193,091248
5	0,018265	172,332993	877,000000	164,278000	511,000000	69,544998	141,091003	243,949997	102,699997	193,103836
6	0,022831	172,332993	877,000000	164,389008	511,000000	69,544998	141,091003	243,949997	102,699997	193,137344
7	0,027397	172,222000	877,000000	164,389008	511,000000	69,544998	141,091003	243,899994	102,699997	193,154709
8	0,031963	172,167007	877,000000	164,399994	511,500000	69,544998	141,091003	243,949997	102,699997	193,146362
9	0,036530	171,800003	877,200012	164,449997	511,500000	69,455002	141,091003	243,949997	102,699997	193,232651
10	0,041096	171,750000	877,200012	164,449997	511,500000	69,544998	141,091003	243,899994	102,699997	193,227417
11	0,045662	171,500000	877,666992	164,591003	511,091003	69,544998	141,091003	244,000000	102,699997	193,326950
12	0,050228	171,500000	877,666992	164,727005	511,091003	69,544998	141,091003	244,000000	102,699997	193,367966
13	0,054795	171,563004	877,375000	164,727005	511,091003	69,544998	141,091003	243,899994	102,699997	193,357269
14	0,059361	171,563004	877,375000	164,863998	511,091003	69,408997	141,091003	243,899994	102,699997	193,418335
15	0,063927	171,563004	877,375000	164,955002	511,091003	69,408997	141,091003	243,899994	102,699997	193,445770
16	0,068493	171,563004	877,375000	165,167007	511,416992	69,408997	141,091003	243,949997	102,699997	193,496567
17	0,073059	171,438004	877,375000	165,292007	511,416992	69,408997	141,091003	243,899994	102,699997	193,553818
18	0,077626	171,438004	877,375000	165,591003	511,817993	69,408997	141,091003	243,949997	102,699997	193,627884
19	0,082192	171,429001	877,856995	165,649994	511,500000	69,408997	141,091003	243,949997	102,699997	193,661026
20	0,086758	171,429001	877,856995	165,649994	511,500000	69,408997	141,091003	243,949997	102,699997	193,661026
21	0,091324	170,500000	877,286011	166,100006	511,500000	69,408997	141,091003	243,899994	102,699997	193,940765
22	0,095890	170,500000	877,286011	166,050003	511,500000	69,408997	141,091003	243,899994	102,699997	193,925690
23	0,100457	170,563004	877,750000	166,250000	511,500000	69,408997	141,091003	244,000000	102,699997	193,976959
24	0,105023	170,500000	877,750000	166,727005	511,817993	69,408997	141,091003	243,899994	102,699997	194,117874
25	0,109589	170,625000	877,750000	167,056000	512,000000	69,408997	141,182007	243,899994	102,699997	194,193634
26	0,114155	170,563004	877,750000	167,500000	511,500000	69,408997	141,182007	243,949997	102,699997	194,356812
27	0,118721	170,500000	877,750000	167,750000	511,500000	69,408997	141,182007	243,899994	102,699997	194,441910
28	0,123288	170,438004	877,750000	168,050003	511,600006	69,408997	141,182007	243,949997	102,699997	194,537933
29	0,127854	170,375000	877,750000	168,636002	511,908997	69,408997	141,182007	243,899994	102,699997	194,711929
30	0,132420	170,000000	877,888977	169,050003	512,400024	69,363998	141,182007	243,949997	102,699997	194,882523
31	0,136986	170,063004	877,750000	169,556000	512,000000	69,408997	141,182007	243,899994	102,699997	195,033920
32	0,141552	170,063004	877,750000	169,908997	512,091003	69,363998	141,182007	243,949997	102,699997	195,142960
33	0,146119	170,063004	877,750000	170,800003	512,400024	69,363998	141,182007	243,949997	102,599998	195,398666
34	0,150685	169,889008	878,111023	171,278000	512,000000	69,363998	141,182007	244,000000	102,699997	195,584869
35	0,155251	170,000000	877,750000	171,772995	512,091003	69,363998	141,182007	243,949997	102,699997	195,712784
36	0,159817	170,214005	878,000000	172,800003	512,400024	69,408997	141,182007	244,000000	102,699997	195,968750
37	0,164384	169,778000	878,000000	173,350006	512,500000	69,544998	141,182007	244,000000	102,599998	196,178696
38	0,168950	169,778000	878,000000	174,250000	512,416992	69,591003	141,182007	244,000000	102,699997	196,445099
39	0,173516	169,778000	878,000000	175,063004	512,500000	69,650002	141,500000	244,000000	102,699997	196,689972
40	0,178082	169,778000	878,000000	175,908997	512,817993	69,611000	142,000000	244,110992	103,000000	196,957230
41	0,182648	169,778000	878,000000	176,610992	513,000000	69,722000	142,000000	244,000000	102,599998	197,144730
42	0,187215	169,800003	877,700012	177,699997	513,299988	69,800003	142,500000	244,050003	102,599998	197,466537
43	0,191781	169,667007	878,000000	178,500000	513,400024	69,636002	142,908997	244,050003	102,599998	197,762558
44	0,196347	169,800003	877,700012	179,500000	513,000000	69,500000	143,399994	244,063004	102,500000	198,097549
45	0,200913	169,800003	877,700012	180,389008	513,000000	69,500000	143,399994	244,389008	102,222000	198,363632
46	0,205479	169,667007	878,000000	181,444000	513,000000	69,667000	143,000000	244,500000	102,111000	198,657623
47	0,210046	169,889008	878,000000	182,500000	512,599976	69,583000	143,000000	244,500000	102,111000	198,965164
48	0,214612	169,750000	878,375000	183,682007	513,817993	69,863998	143,182007	244,556000	102,111000	199,259674
49	0,219178	169,856995	878,000000	184,682007	513,091003	69,955002	143,182007	244,600006	102,500000	199,557693
50	0,223744	169,856995	878,000000	185,832993	513,000000	70,125000	143,582993	244,600006	102,500000	199,897720
51	0,228310	169,856995	878,000000	187,227005	513,817993	70,167000	143,582993	244,649994	102,500000	200,276489
52	0,232877	169,856995	878,000000	188,149994	513,500000	70,449997	143,600006	244,610992	102,889000	200,523834
53	0,237443	169,667007	877,500000	189,591003	513,908997	70,449997	144,500000	244,667007	102,889000	201,011993
54	0,242009	169,582993	877,500000	190,944000	514,000000	70,650002	144,500000	244,722000	102,889000	201,396225
55	0,246575	169,582993	877,500000	192,044998	514,091003	70,750000	144,500000	244,778000	102,889000	201,706070
56	0,251141	169,610992	877,666992	193,610992	514,000000	70,889000	145,000000	244,722000	102,889000	202,171814
57	0,255708	169,667007	877,666992	195,110992	514,000000	71,226997	145,091003	244,778000	102,889000	202,564835
58	0,260274	169,550003	877,200012	196,649994	515,299988	71,226997	145,091003	244,778000	102,889000	202,998306
59	0,264840	169,332993	876,888977	198,350006	515,299988	70,949997	145,600006	244,832993	102,889000	203,602219
60	0,269406	169,332993	876,333008	200,100006	515,299988	70,849998	146,500000	244,832993	102,889000	204,184509
61	0,273973	169,332993	876,221985	201,556000	515,000000	71,125000	146,582993	244,850006	102,400002	204,593140
62	0,278539	169,500000	876,375000	203,389008	515,000000	71,500000	147,091003	244,899994	102,400002	205,079285
63	0,283105	169,389008	876,000000	205,455002	515,817993	71,591003	147,182007	244,899994	102,400002	205,675766
64	0,287671	169,389008	876,000000	207,408997	515,817993	71,849998	148,500000	245,082993	101,750000	206,282318
65	0,292237	169,438004	876,375000	209,167007	516,000000	71,583000	149,082993	245,182007	101,363998	206,845779
66	0,296804	169,214005	876,000000	211,332993	516,000000	72,318001	150,000000	245,500000	101,699997	207,471008
67	0,301370	169,143005	876,000000	213,389008	517,000000	72,556000	151,000000	245,250000	101,599998	208,072357
68	0,305936	168,356995	875,286011	216,100006	517,400024	72,949997	151,600006	245,500000	102,000000	208,970657
69	0,310502	168,582993	875,500000	218,199997	517,599976	73,444000	153,000000	245,556000	102,000000	209,547226
70	0,315069	168,582993	875,500000	221,050003	518,400024	73,455002	154,182007	245,563004	101,500000	210,418060
71	0,319635	168,643005	875,000000	223,500000	519,000000	73,818001	155,182007	245,722000	101,889000	211,123199
72	0,324201	168,582993	875,500000	226,222000	519,000000	74,333000	157,000000	245,778000	101,889000	211,946198
73	0,328767	168,417007	875,500000	229,100006	520,400024	74,900002	157,600006	245,899994	101,500000	212,724426
74	0,333333	168,356995	876,000000	232,250000	520,599976	75,667000	159,582993	245,899994	101,500000	213,639343
75	0,337900	168,000000	876,000000	235,149994	522,299988	76,408997	161,091003	245,949997	101,400002	214,473785
76	0,342466	167,875000	876,375000	238,250000	523,299988	76,692001	163,000000	245,949997	101,400002	215,423874
77	0,347032	167,500000	876,000000	241,500000	523,817993	77,458000	164,667007	245,949997	101,400002	216,414810
78	0,351598	167,389008	876,000000	244,772995	524,817993	78,375000	166,500000	245,949997	101,400002	217,336227
79	0,356165	167,389008	876,111023	248,149994	525,400024	79,792000	168,500000	245,949997	101,400002	218,222229
80	0,360731	167,222000	876,221985	251,444000	526,000000	80,818001	170,091003	245,949997	101,400002	219,135300
81	0,365297	166,667007	877,000000	255,182007	527,817993	81,807999	172,307999	246,000000	101,400002	220,221832
82	0,369863	166,500000	877,000000	258,500000	529,000000	83,363998	174,908997	246,000000	101,400002	221,125717
83	0,374429	166,389008	877,000000	262,100006	530,400024	84,908997	176,908997	246,100006	101,400002	222,059875
84	0,378996	166,143005	877,000000	265,750000	531,400024	86,199997	179,399994	246,100006	101,400002	223,103210
85	0,383562	165,832993	877,500000	269,437988	532,500000	87,863998	181,091003	246,332993	101,000000	224,040756
86	0,388128	165,667007	877,500000	272,944000	534,000000	89,500000	184,000000	246,444000	101,000000	225,004059
87	0,392694	165,438004	878,375000	276,556000	536,000000	91,500000	186,000000	246,500000	101,000000	225,847672
